fuente,tabla,registros,fecha_inicio,fecha_fin,duracion_segundos,estado,error_msg
RAWG,rawg_games,0,2025-05-31 15:16:24+02:00,2025-05-31 15:16:25+02:00,1.0,Error SQL,"(pymysql.err.OperationalError) (1054, ""Unknown column 'id_rawg' in 'field list'"")"
GiantBomb,giantbomb_games,0,2025-05-31 15:16:25+02:00,2025-05-31 15:16:26+02:00,1.0,Error SQL,"(pymysql.err.OperationalError) (1054, ""Unknown column 'id_gb' in 'field list'"")"
ShowdownPokedex,pokemon_pokedex,0,2025-05-31 15:16:26+02:00,2025-05-31 15:16:26+02:00,0.0,Error SQL,A column with name 'num' is already present in table 'core_pokemon_pokedex'.
ShowdownLadder,core_pokemon_ladder,500,2025-05-31 15:16:26+02:00,2025-05-31 15:16:26+02:00,0.0,Éxito,
ShowdownMoves,core_pokemon_moves,952,2025-05-31 15:16:26+02:00,2025-05-31 15:16:27+02:00,1.0,Éxito,
RAWG,core_rawg,6000,2025-05-31 15:18:19+02:00,2025-05-31 15:18:22+02:00,3.0,Éxito,
GiantBomb,core_giantbomb,12200,2025-05-31 15:18:22+02:00,2025-05-31 15:18:35+02:00,13.0,Éxito,
ShowdownPokedex,pokemon_pokedex,0,2025-05-31 15:18:35+02:00,2025-05-31 15:18:35+02:00,0.0,Error SQL,A column with name 'num' is already present in table 'core_pokemon_pokedex'.
ShowdownLadder,core_pokemon_ladder,500,2025-05-31 15:18:35+02:00,2025-05-31 15:18:36+02:00,1.0,Éxito,
ShowdownMoves,core_pokemon_moves,952,2025-05-31 15:18:36+02:00,2025-05-31 15:18:37+02:00,1.0,Éxito,
RAWG,core_rawg,6000,2025-05-31 15:25:51+02:00,2025-05-31 15:25:54+02:00,3.0,Éxito,
GiantBomb,core_giantbomb,12200,2025-05-31 15:25:54+02:00,2025-05-31 15:26:17+02:00,23.0,Éxito,
ShowdownPokedex,pokemon_pokedex,0,2025-05-31 15:26:17+02:00,2025-05-31 15:26:17+02:00,0.0,Error SQL,A column with name 'num' is already present in table 'core_pokemon_pokedex'.
ShowdownLadder,core_pokemon_ladder,500,2025-05-31 15:26:17+02:00,2025-05-31 15:26:18+02:00,1.0,Éxito,
ShowdownMoves,core_pokemon_moves,952,2025-05-31 15:26:18+02:00,2025-05-31 15:26:19+02:00,1.0,Éxito,
RAWG,core_rawg,6000,2025-05-31 15:29:35+02:00,2025-05-31 15:29:41+02:00,6.0,Éxito,
GiantBomb,core_giantbomb,12200,2025-05-31 15:29:41+02:00,2025-05-31 15:30:07+02:00,26.0,Éxito,
ShowdownPokedex,pokemon_pokedex,0,2025-05-31 15:30:07+02:00,2025-05-31 15:30:07+02:00,0.0,Error SQL,A column with name 'num' is already present in table 'core_pokemon_pokedex'.
ShowdownLadder,core_pokemon_ladder,500,2025-05-31 15:30:07+02:00,2025-05-31 15:30:08+02:00,1.0,Éxito,
ShowdownMoves,core_pokemon_moves,952,2025-05-31 15:30:08+02:00,2025-05-31 15:30:08+02:00,0.0,Éxito,
RAWG,core_rawg,6000,2025-05-31 15:36:52+02:00,2025-05-31 15:36:56+02:00,4.0,Éxito,
GiantBomb,core_giantbomb,12200,2025-05-31 15:36:56+02:00,2025-05-31 15:37:15+02:00,19.0,Éxito,
ShowdownPokedex,pokemon_pokedex,0,2025-05-31 15:37:15+02:00,2025-05-31 15:37:16+02:00,1.0,Error SQL,"(pymysql.err.OperationalError) (1054, ""Unknown column 'egggroups' in 'field list'"")"
ShowdownLadder,core_pokemon_ladder,500,2025-05-31 15:37:16+02:00,2025-05-31 15:37:17+02:00,1.0,Éxito,
ShowdownMoves,core_pokemon_moves,952,2025-05-31 15:37:18+02:00,2025-05-31 15:37:18+02:00,0.0,Éxito,
RAWG,core_rawg,6000,2025-05-31 15:39:44+02:00,2025-05-31 15:39:54+02:00,10.0,Éxito,
GiantBomb,core_giantbomb,12200,2025-05-31 15:39:54+02:00,2025-05-31 15:40:19+02:00,25.0,Éxito,
ShowdownPokedex,pokemon_pokedex,0,2025-05-31 15:40:20+02:00,2025-05-31 15:40:21+02:00,1.0,Error SQL,"(pymysql.err.OperationalError) (1054, ""Unknown column 'tier' in 'field list'"")"
ShowdownLadder,core_pokemon_ladder,500,2025-05-31 15:40:21+02:00,2025-05-31 15:40:22+02:00,1.0,Éxito,
