log_time,fuente,hora_inicio,hora_fin,registros,archivo,duracion_segundos,resultado,error,mensaje
2025-05-31 14:23:23+02:00,RAWG,12:19:29,12:23:23,6000,rawg_games.parquet,233.43,Éxito,,2025-05-31 12:23:23 - INFO - 🔍 Fuente: RAWG | 🕒 Inicio: 12:19:29 | 🕕 Fin: 12:23:23 | 📊 Registros: 6000 | 📁 Archivo: rawg_games.parquet | ⏱ Tiempo total: 233.43 s | 📌 Resultado: Éxito
2025-05-31 14:37:07+02:00,Giant Bomb,12:23:23,12:37:07,12200,giantbomb_games.parquet,824.23,Éxito,,2025-05-31 12:37:07 - INFO - 🔍 Fuente: Giant Bomb | 🕒 Inicio: 12:23:23 | 🕕 Fin: 12:37:07 | 📊 Registros: 12200 | 📁 Archivo: giantbomb_games.parquet | ⏱ Tiempo total: 824.23 s | 📌 Resultado: Éxito
2025-05-31 14:37:07+02:00,Pokémon Showdown - Pokedex,12:37:07,12:37:07,1425,pokemon_pokedex.parquet,0.33,Éxito,,2025-05-31 12:37:07 - INFO - 🔍 Fuente: Pokémon Showdown - Pokedex | 🕒 Inicio: 12:37:07 | 🕕 Fin: 12:37:07 | 📊 Registros: 1425 | 📁 Archivo: pokemon_pokedex.parquet | ⏱ Tiempo total: 0.33 s | 📌 Resultado: Éxito
2025-05-31 14:37:07+02:00,Pokémon Showdown - Ladder,12:37:07,12:37:07,500,pokemon_ladder.parquet,0.18,Éxito,,2025-05-31 12:37:07 - INFO - 🔍 Fuente: Pokémon Showdown - Ladder | 🕒 Inicio: 12:37:07 | 🕕 Fin: 12:37:07 | 📊 Registros: 500 | 📁 Archivo: pokemon_ladder.parquet | ⏱ Tiempo total: 0.18 s | 📌 Resultado: Éxito
2025-05-31 14:37:08+02:00,Pokémon Showdown - Moves,12:37:07,12:37:08,952,pokemon_moves.parquet,0.82,Éxito,,2025-05-31 12:37:08 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 12:37:07 | 🕕 Fin: 12:37:08 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.82 s | 📌 Resultado: Éxito
2025-06-05 23:30:51+02:00,RAWG,21:27:36,21:30:51,6000,rawg_games.parquet,195.33,Éxito,,2025-06-05 21:30:51 - INFO - 🔍 Fuente: RAWG | 🕒 Inicio: 21:27:36 | 🕕 Fin: 21:30:51 | 📊 Registros: 6000 | 📁 Archivo: rawg_games.parquet | ⏱ Tiempo total: 195.33 s | 📌 Resultado: Éxito
2025-06-05 23:45:34+02:00,Giant Bomb,21:30:51,21:45:34,15000,giantbomb_games.parquet,883.42,Éxito,,2025-06-05 21:45:34 - INFO - 🔍 Fuente: Giant Bomb | 🕒 Inicio: 21:30:51 | 🕕 Fin: 21:45:34 | 📊 Registros: 15000 | 📁 Archivo: giantbomb_games.parquet | ⏱ Tiempo total: 883.42 s | 📌 Resultado: Éxito
2025-06-05 23:45:35+02:00,Pokémon Showdown - Pokedex,21:45:34,21:45:35,1425,pokemon_pokedex.parquet,0.43,Éxito,,2025-06-05 21:45:35 - INFO - 🔍 Fuente: Pokémon Showdown - Pokedex | 🕒 Inicio: 21:45:34 | 🕕 Fin: 21:45:35 | 📊 Registros: 1425 | 📁 Archivo: pokemon_pokedex.parquet | ⏱ Tiempo total: 0.43 s | 📌 Resultado: Éxito
2025-06-05 23:45:35+02:00,Pokémon Showdown - Ladder,21:45:35,21:45:35,500,pokemon_ladder.parquet,0.23,Éxito,,2025-06-05 21:45:35 - INFO - 🔍 Fuente: Pokémon Showdown - Ladder | 🕒 Inicio: 21:45:35 | 🕕 Fin: 21:45:35 | 📊 Registros: 500 | 📁 Archivo: pokemon_ladder.parquet | ⏱ Tiempo total: 0.23 s | 📌 Resultado: Éxito
2025-06-05 23:45:36+02:00,Pokémon Showdown - Moves,21:45:35,21:45:36,952,pokemon_moves.parquet,0.51,Éxito,,2025-06-05 21:45:36 - INFO - 🔍 Fuente: Pokémon Showdown - Moves | 🕒 Inicio: 21:45:35 | 🕕 Fin: 21:45:36 | 📊 Registros: 952 | 📁 Archivo: pokemon_moves.parquet | ⏱ Tiempo total: 0.51 s | 📌 Resultado: Éxito
2025-06-05 23:53:23+02:00,Pokémon Showdown - Pokedex,21:53:22,21:53:23,1425,pokemon_pokedex.parquet,1.08,Éxito,,2025-06-05 21:53:23 - INFO - 🔍 Fuente: Pokémon Showdown - Pokedex | 🕒 Inicio: 21:53:22 | 🕕 Fin: 21:53:23 | 📊 Registros: 1425 | 📁 Archivo: pokemon_pokedex.parquet | ⏱ Tiempo total: 1.08 s | 📌 Resultado: Éxito
